setting	seed_count	mean_test_ctr_auc	mean_test_cvr_auc	mean_best_ckpt_test_ctcvr_auc
01_share_bottom	2	0.6181188524	0.6509572268	0.4023689181
02_mmoe	2	0.6147636175	0.6439960897	0.3959224075
03_mmoe_entropy	2	0.6176195741	0.6585059762	0.4067055136
04_mmoe_entropy_upgrad_all	2	0.6159512997	0.6524931788	0.4019054621
05_mmoe_entropy_upgrad_on10	2	0.6160090566	0.6413224339	0.3950613290
06_mmoe_entropy_asym_all	1	0.6176264286	0.6544644237	0.4042145312
07_mmoe_entropy_asym_on10	2	0.6178744733	0.6559313536	0.4052832425
08_mmoe_entropy_asym_on10_restore_norm	2	0.6176996231	0.6568287313	0.4057209790
